,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
30,H,5,4,D,D,W,D,W,L,2,1,1,1,-16.0
31,D,3,1,L,L,W,D,L,L,-2,-3,2,2,-2.0
32,H,4,4,L,D,W,D,W,L,0,1,0,0,-3.0
33,D,3,2,L,L,W,D,L,D,-1,-1,1,1,5.0
34,D,4,6,D,L,W,W,W,L,0,3,-2,-2,3.0
35,A,6,6,W,W,L,W,W,L,0,1,0,0,3.0
36,D,2,4,D,L,D,L,D,W,-1,1,-2,-2,4.0
37,H,5,4,D,W,D,W,D,L,1,-1,1,1,-12.0
38,H,4,2,D,L,W,L,D,D,-1,-2,2,2,-2.0
39,D,4,6,D,W,L,W,W,L,1,3,-2,-2,15.0
40,D,6,7,L,W,W,D,L,W,-2,2,-1,-1,11.0
41,A,4,5,L,W,D,W,L,D,-2,-1,-1,-1,14.0
42,H,8,3,W,D,W,D,D,L,2,-1,5,5,-7.0
43,H,7,6,W,D,L,W,L,W,1,-2,1,1,-16.0
44,H,8,4,W,D,D,D,L,L,8,-2,4,4,-6.0
45,A,5,4,D,L,D,L,D,W,1,0,1,1,-1.0
46,D,9,5,W,W,W,D,D,L,3,0,4,4,6.0
47,D,3,4,D,D,L,D,L,L,-1,-1,-1,-1,-4.0
48,H,7,2,W,L,D,D,D,L,1,-3,5,5,1.0
49,H,7,6,D,W,W,L,W,W,3,-2,1,1,-12.0
50,H,8,5,W,W,L,D,L,D,1,-5,3,3,-11.0
51,H,5,10,D,D,L,W,W,L,-1,2,-5,-5,10.0
52,A,7,11,W,L,D,W,W,D,1,11,-4,-4,12.0
53,A,7,4,L,D,L,L,L,W,1,-3,3,3,-17.0
54,H,3,10,L,D,D,D,W,W,-2,3,-7,-7,4.0
55,H,4,4,L,D,L,D,D,D,-5,-1,0,0,-9.0
56,A,6,11,D,D,D,W,W,D,0,3,-5,-5,-3.0
57,D,6,5,L,W,L,L,D,L,-3,0,1,1,8.0
58,D,2,10,L,D,D,W,W,D,-4,2,-8,-8,5.0
59,A,5,3,D,L,D,L,D,D,-5,-2,2,2,2.0
60,A,7,3,L,D,L,D,L,D,-3,-4,4,4,5.0
61,D,4,8,L,D,D,D,L,D,-2,1,-4,-2,13.0
62,D,7,11,W,L,L,W,D,D,-2,4,-4,-4,18.0
63,D,11,7,D,W,W,W,L,D,2,-4,4,4,-3.0
64,D,14,6,W,W,W,L,D,D,13,-2,8,8,-4.0
65,D,6,9,D,L,D,D,W,W,0,1,-3,-5,6.0
66,A,10,8,L,D,W,W,D,D,1,0,2,5,-9.0
67,D,10,7,L,W,W,D,L,W,1,-3,3,0,-10.0
68,D,14,7,W,W,W,L,W,L,5,-1,7,6,-5.0
69,H,9,4,D,W,W,L,D,D,1,-2,5,5,-10.0
70,D,11,7,W,W,D,L,L,D,1,-6,4,4,6.0
71,A,8,8,D,L,W,D,W,L,-1,-2,0,-2,-7.0
72,H,11,11,W,D,L,D,L,W,2,1,0,-2,-7.0
73,A,8,10,D,D,L,L,L,D,-3,0,-2,-2,9.0
74,A,9,7,W,W,L,D,D,L,1,0,2,5,3.0
75,D,6,5,W,D,L,L,L,D,-1,-8,1,4,-8.0
76,H,12,15,D,W,D,D,W,W,4,13,-3,-2,1.0
77,H,7,12,D,L,D,D,D,W,-2,2,-5,-5,1.0
78,D,8,15,D,W,L,D,W,W,-4,5,-7,-6,-1.0
79,H,12,12,D,W,D,W,D,W,4,4,0,-1,-4.0
80,H,8,11,D,L,L,L,D,L,-6,0,-3,-5,4.0
81,D,8,9,L,D,L,L,W,W,-4,-1,-1,-3,-2.0
82,D,11,7,W,D,W,D,W,D,1,-1,4,1,11.0
83,H,14,12,W,W,D,D,W,W,4,1,2,-1,-17.0
84,A,16,15,D,D,W,L,D,W,5,12,1,1,7.0
85,H,8,6,L,D,D,D,L,L,-4,-8,2,3,3.0
86,H,9,10,D,D,W,W,D,L,-4,1,-1,0,2.0
87,A,5,12,L,D,L,L,D,D,-5,-1,-7,-5,12.0
88,A,10,13,W,D,D,W,L,L,2,1,-3,-1,1.0
89,A,6,11,D,L,L,W,D,W,-8,1,-5,-5,-3.0
90,H,12,10,L,D,W,L,W,D,-1,0,2,3,8.0
91,H,10,11,L,W,D,W,D,L,0,-5,-1,0,-9.0
92,H,15,16,W,L,D,L,D,D,3,2,-1,0,-4.0
93,H,18,14,W,L,D,L,W,W,15,1,4,3,-2.0
94,A,16,9,W,W,L,D,L,D,3,-4,7,2,-2.0
95,H,11,5,L,L,D,L,L,D,-1,-9,6,2,-6.0
96,A,8,18,D,D,W,W,W,D,-1,6,-10,-5,7.0
97,D,13,12,D,L,W,W,D,D,3,-3,1,0,-1.0
98,A,10,11,D,L,W,W,L,D,-1,-2,-1,2,-5.0
99,H,18,11,W,W,D,W,L,D,6,-2,7,6,-18.0
100,H,16,15,W,D,L,W,L,D,4,0,1,-2,-14.0
101,H,13,14,W,L,W,W,L,L,5,1,-1,3,-5.0
102,H,15,10,W,D,W,L,L,W,3,-1,5,6,8.0
103,H,16,5,L,L,D,L,L,L,1,-11,11,4,-8.0
104,H,21,10,W,W,L,L,D,L,18,-3,11,3,-14.0
105,H,13,11,D,W,D,L,W,D,-3,-10,2,5,-7.0
106,H,8,16,L,D,D,L,W,W,-2,2,-8,0,-2.0
107,D,6,15,L,L,D,D,L,W,-12,1,-9,-7,14.0
108,H,18,12,W,W,L,W,D,L,4,-3,6,3,-9.0
109,H,15,6,W,L,D,L,L,D,0,-12,9,9,3.0
110,A,11,24,L,L,W,W,W,W,-11,23,-13,-6,13.0
111,H,18,21,W,D,L,W,W,W,2,6,-3,0,-1.0
112,A,14,19,L,W,W,W,L,L,-5,2,-5,2,12.0
113,A,10,24,L,L,L,W,W,W,-2,12,-14,-9,10.0
114,H,16,18,L,L,W,W,W,D,1,4,-2,-5,-9.0
115,H,10,16,L,L,D,W,W,L,-8,8,-6,-6,10.0
116,H,14,16,L,W,L,W,D,W,-2,-2,-2,-5,3.0
117,A,12,19,L,W,D,W,W,D,-5,5,-7,-5,7.0
118,D,5,11,L,L,L,W,L,D,-12,-1,-6,-7,7.0
119,D,24,5,W,W,W,L,L,L,12,-12,19,12,-14.0
120,H,22,17,W,W,W,W,L,W,7,-1,5,4,-4.0
121,A,7,12,L,D,L,L,L,W,-14,-6,-5,-2,4.0
122,H,18,18,L,W,W,W,L,W,3,1,0,3,0.0
123,D,22,19,W,W,L,W,L,L,3,2,3,-2,-3.0
124,H,27,10,W,W,W,L,L,L,24,-3,17,9,-11.0
125,D,16,13,L,W,D,W,L,L,-3,-7,3,4,-8.0
126,H,12,14,D,W,L,L,L,W,-1,-6,-2,0,-11.0
127,D,16,19,L,W,W,D,W,D,7,2,-3,1,2.0
128,H,21,11,L,W,W,L,L,L,5,-12,10,5,-10.0
129,H,18,16,W,L,W,L,W,W,1,7,2,-2,15.0
130,H,7,7,D,D,L,L,L,D,-12,-15,0,1,-1.0
131,H,15,28,W,L,L,D,W,W,-5,13,-13,-6,11.0
132,A,19,15,L,D,W,W,D,W,1,2,4,-3,-6.0
133,A,14,30,L,L,L,W,W,W,-9,25,-16,-9,19.0
134,A,10,23,L,L,L,D,W,W,-4,3,-13,-7,4.0
135,A,20,17,D,W,L,D,L,W,2,-3,3,-1,4.0
136,H,14,22,D,W,L,L,W,W,-7,5,-8,-5,9.0
137,H,17,24,L,W,L,W,L,W,-3,8,-7,-6,6.0
138,A,11,21,L,L,L,W,L,W,-15,5,-10,-7,-6.0
139,A,18,17,L,W,L,D,L,W,-1,-3,1,-2,13.0
140,D,11,23,L,L,L,D,L,W,-16,5,-12,-10,8.0
141,A,10,33,W,D,D,W,W,W,-10,26,-23,-10,15.0
142,H,18,17,W,W,L,L,D,L,-3,5,1,2,8.0
143,A,14,24,L,L,L,W,W,L,-10,6,-10,-9,0.0
144,D,10,7,L,L,L,L,L,L,-7,-17,3,-1,-5.0
145,A,17,18,W,D,W,W,W,D,-5,3,-1,-3,6.0
146,H,20,26,W,L,W,W,D,W,-2,6,-6,-1,2.0
147,H,22,28,W,L,D,L,D,W,2,11,-6,-2,1.0
148,H,20,24,L,D,W,L,W,L,1,7,-4,-5,7.0
149,H,28,17,L,D,W,W,D,W,11,-5,11,3,-13.0
150,D,24,23,D,D,L,W,L,D,5,2,1,1,-5.0
151,H,8,12,D,L,L,D,L,L,-17,-16,-4,1,3.0
152,A,27,10,W,W,W,L,W,D,7,-13,17,7,4.0
153,H,26,22,L,W,D,L,W,L,3,0,4,3,5.0
154,H,24,21,L,L,W,L,W,L,6,0,3,0,-16.0
155,H,36,23,W,W,W,W,W,L,29,1,13,6,-9.0
156,H,21,11,W,W,W,D,L,L,4,-7,10,12,-3.0
157,H,17,14,L,L,D,L,L,L,4,-11,3,4,-15.0
158,H,23,21,W,W,D,W,W,W,-1,-2,2,1,-6.0
